Number,CH1,CH2,CH4
14260,23.54,23.53,23.54
14261,23.54,23.53,23.54
14262,23.54,23.53,23.54
14263,23.54,23.53,23.54
14264,23.54,23.53,23.54
14265,23.54,23.53,23.54
14266,23.54,23.53,23.54
14267,23.54,23.52,23.54
14268,23.54,23.52,23.54
14269,23.54,23.53,23.54
14270,23.54,23.53,23.54
14271,23.54,23.53,23.54
14272,23.55,23.52,23.54
14273,23.54,23.53,23.54
14274,23.54,23.53,23.54
14275,23.55,23.53,23.54
14276,23.54,23.52,23.54
14277,23.54,23.52,23.54
14278,23.54,23.52,23.54
14279,23.54,23.52,23.54
14280,23.54,23.52,23.53
14281,23.54,23.52,23.54
14282,23.54,23.53,23.54
14283,23.54,23.53,23.54
14284,23.54,23.53,23.54
14285,23.54,23.52,23.54
14286,23.54,23.52,23.54
14287,23.54,23.52,23.54
14288,23.54,23.52,23.54
14289,23.54,23.52,23.54
14290,23.54,23.52,23.54
14291,23.54,23.52,23.54
14292,23.54,23.52,23.54
14293,23.54,23.52,23.54
14294,23.54,23.52,23.54
14295,23.54,23.52,23.54
14296,23.54,23.52,23.54
14297,23.54,23.52,23.54
14298,23.54,23.53,23.54
14299,23.54,23.53,23.54
14300,23.54,23.53,23.54
14301,23.54,23.53,23.54
14302,23.54,23.53,23.54
14303,23.54,23.53,23.54
14304,23.54,23.52,23.54
14305,23.54,23.53,23.54
14306,23.54,23.52,23.54
14307,23.53,23.52,23.54
14308,23.54,23.52,23.53
14309,23.54,23.52,23.53
14310,23.54,23.52,23.53
14311,23.54,23.52,23.54
14312,23.54,23.52,23.54
14313,23.54,23.53,23.54
14314,23.55,23.53,23.54
14315,23.54,23.53,23.54
14316,23.54,23.53,23.54
14317,23.54,23.52,23.54
14318,23.54,23.52,23.54
14319,23.54,23.52,23.54
14320,23.54,23.52,23.54
14321,23.54,23.53,23.54
14322,23.54,23.53,23.54
14323,23.54,23.53,23.54
14324,23.54,23.53,23.54
14325,23.54,23.52,23.54
14326,23.54,23.52,23.54
14327,23.54,23.52,23.54
14328,23.54,23.53,23.54
14329,23.54,23.53,23.54
14330,23.54,23.53,23.54
14331,23.54,23.53,23.54
14332,23.54,23.52,23.54
14333,23.54,23.52,23.54
14334,23.54,23.53,23.54
14335,23.54,23.53,23.54
14336,23.53,23.52,23.54
14337,23.54,23.52,23.54
14338,23.54,23.52,23.53
14339,23.53,23.52,23.54
14340,23.53,23.52,23.53
14341,23.54,23.52,23.54
14342,23.54,23.53,23.54
14343,23.54,23.53,23.54
14344,23.54,23.53,23.54
14345,23.54,23.53,23.54
14346,23.54,23.53,23.55
14347,23.54,23.53,23.54
14348,23.54,23.53,23.54
14349,23.54,23.53,23.54
14350,23.54,23.53,23.54
14351,23.54,23.53,23.54
14352,23.54,23.53,23.54
14353,23.54,23.52,23.54
14354,23.54,23.53,23.54
14355,23.54,23.53,23.54
14356,23.54,23.53,23.54
14357,23.54,23.53,23.54
14358,23.54,23.53,23.54
14359,23.54,23.53,23.54
14360,23.54,23.52,23.54
14361,23.54,23.53,23.54
14362,23.54,23.53,23.54
14363,23.54,23.53,23.54
14364,23.54,23.53,23.54
14365,23.54,23.53,23.54
14366,23.53,23.52,23.54
14367,23.53,23.52,23.54
14368,23.54,23.52,23.53
14369,23.54,23.52,23.54
14370,23.54,23.52,23.54
14371,23.54,23.52,23.54
14372,23.54,23.53,23.54
14373,23.54,23.53,23.54
14374,23.54,23.53,23.54
14375,23.54,23.53,23.54
14376,23.55,23.53,23.54
14377,23.54,23.53,23.54
14378,23.54,23.53,23.54
14379,23.54,23.53,23.54
14380,23.54,23.53,23.54
14381,23.54,23.53,23.54
14382,23.54,23.53,23.54
14383,23.54,23.53,23.54
14384,23.55,23.53,23.54
14385,23.54,23.53,23.54
14386,23.54,23.53,23.54
14387,23.54,23.53,23.54
14388,23.54,23.53,23.54
14389,23.54,23.53,23.54
14390,23.54,23.53,23.54
14391,23.54,23.53,23.54
14392,23.54,23.53,23.54
14393,23.54,23.53,23.54
14394,23.54,23.53,23.54
14395,23.55,23.53,23.54
14396,23.54,23.52,23.54
14397,23.54,23.52,23.54
14398,23.54,23.52,23.54
14399,23.54,23.52,23.54
14400,23.54,23.52,23.54
14401,23.54,23.53,23.54
14402,23.54,23.53,23.54
14403,23.55,23.53,23.54
14404,23.54,23.53,23.54
14405,23.54,23.53,23.54
14406,23.54,23.53,23.54
14407,23.55,23.53,23.54
14408,23.54,23.53,23.54
14409,23.55,23.53,23.54
14410,23.55,23.53,23.54
14411,23.54,23.53,23.54
14412,23.55,23.53,23.54
14413,23.54,23.53,23.54
14414,23.54,23.53,23.54
14415,23.54,23.53,23.54
14416,23.54,23.53,23.54
14417,23.54,23.53,23.54
14418,23.54,23.53,23.54
14419,23.54,23.53,23.54
14420,23.54,23.53,23.54
14421,23.54,23.53,23.54
14422,23.54,23.53,23.54
14423,23.54,23.53,23.54
14424,23.54,23.53,23.54
14425,23.54,23.53,23.54
14426,23.54,23.52,23.54
14427,23.54,23.52,23.54
14428,23.54,23.52,23.54
14429,23.54,23.52,23.54
14430,23.53,23.52,23.54
14431,23.54,23.53,23.54
14432,23.54,23.53,23.54
14433,23.54,23.53,23.54
14434,23.54,23.53,23.54
14435,23.54,23.53,23.54
14436,23.55,23.53,23.54
14437,23.55,23.53,23.54
14438,23.54,23.53,23.54
14439,23.54,23.53,23.54
14440,23.54,23.53,23.54
14441,23.54,23.53,23.54
14442,23.54,23.53,23.54
14443,23.54,23.53,23.54
14444,23.54,23.53,23.54
14445,23.54,23.53,23.54
14446,23.54,23.53,23.54
14447,23.54,23.53,23.54
14448,23.54,23.53,23.54
14449,23.54,23.53,23.54
14450,23.54,23.53,23.54
14451,23.54,23.53,23.54
14452,23.54,23.53,23.54
14453,23.54,23.53,23.54
14454,23.54,23.53,23.54
14455,23.54,23.53,23.54
14456,23.54,23.52,23.53
14457,23.53,23.52,23.53
14458,23.54,23.52,23.54
14459,23.54,23.52,23.54
14460,23.54,23.52,23.54
14461,23.54,23.53,23.55
14462,23.54,23.53,23.54
14463,23.55,23.53,23.54
14464,23.55,23.53,23.54
14465,23.54,23.53,23.54
14466,23.54,23.53,23.54
14467,23.54,23.53,23.54
14468,23.54,23.53,23.55
14469,23.55,23.53,23.54
14470,23.54,23.53,23.54
14471,23.54,23.53,23.54
14472,23.54,23.53,23.54
14473,23.54,23.53,23.54
14474,23.54,23.53,23.54
14475,23.54,23.53,23.54
14476,23.55,23.53,23.54
14477,23.54,23.53,23.54
14478,23.54,23.53,23.55
14479,23.54,23.53,23.55
14480,23.55,23.53,23.54
14481,23.54,23.53,23.54
14482,23.54,23.53,23.54
14483,23.55,23.53,23.54
14484,23.54,23.53,23.54
14485,23.54,23.53,23.55
14486,23.54,23.52,23.54
14487,23.54,23.52,23.54
14488,23.54,23.52,23.54
14489,23.54,23.52,23.54
14490,23.54,23.52,23.53
14491,23.54,23.53,23.54
14492,23.54,23.53,23.54
14493,23.54,23.53,23.54
14494,23.54,23.53,23.54
14495,23.54,23.53,23.54
14496,23.54,23.53,23.54
14497,23.54,23.53,23.54
14498,23.54,23.53,23.54
14499,23.54,23.53,23.54
14500,23.54,23.53,23.55
14501,23.54,23.53,23.54
14502,23.54,23.53,23.54
14503,23.55,23.53,23.54
14504,23.5,0.03,23.5
14505,23.5,0.03,23.5
14506,23.5,0.03,23.5
14507,23.49,0.03,23.5
14508,23.5,0.03,23.5
14509,23.5,0.03,23.5
14510,23.55,23.65,23.55
14511,23.54,23.54,23.54
14512,23.54,23.53,23.54
14513,23.54,23.53,23.55
14514,23.55,23.53,23.54
14515,23.54,23.53,23.54
14516,23.54,23.52,23.54
14517,23.54,23.52,23.54
14518,23.54,23.52,23.53
14519,23.54,23.52,23.54
14520,23.54,23.52,23.54
14521,23.54,23.53,23.54
14522,23.54,23.53,23.55
14523,23.54,23.53,23.54
14524,23.54,23.53,23.54
14525,23.54,23.53,23.54
14526,23.54,23.53,23.54
14527,23.54,23.53,23.54
14528,23.54,23.53,23.54
14529,23.55,23.53,23.54
14530,23.54,23.53,23.54
14531,23.55,23.53,23.54
14532,23.54,23.53,23.54
14533,23.54,23.53,23.54
14534,23.54,23.53,23.54
14535,23.54,23.53,23.54
14536,23.54,23.53,23.54
14537,23.55,23.53,23.54
14538,23.54,23.53,23.54
14539,23.54,23.53,23.54
14540,23.54,23.53,23.54
14541,23.54,23.53,23.54
14542,23.54,23.53,23.54
14543,23.54,23.53,23.54
14544,23.55,23.53,23.54
14545,23.54,23.53,23.54
14546,23.54,23.52,23.54
14547,23.53,23.52,23.53
14548,23.54,23.52,23.54
14549,23.53,23.52,23.53
14550,23.54,23.52,23.54
14551,23.54,23.53,23.54
14552,23.54,23.53,23.54
14553,23.55,23.53,23.54
14554,23.55,23.53,23.54
14555,23.54,23.53,23.54
14556,23.54,23.53,23.54
14557,23.54,23.53,23.54
14558,23.54,23.53,23.54
14559,23.54,23.53,23.54
14560,23.54,23.53,23.54
14561,23.54,23.53,23.54
14562,23.54,23.53,23.54
14563,23.55,23.53,23.54
14564,23.54,23.53,23.54
14565,23.55,23.53,23.54
14566,23.54,23.53,23.54
14567,23.54,23.53,23.54
14568,23.54,23.53,23.54
14569,23.54,23.53,23.54
14570,23.54,23.53,23.54
14571,23.54,23.53,23.54
14572,23.54,23.53,23.54
14573,23.54,23.53,23.54
14574,23.54,23.53,23.54
14575,23.54,23.53,23.54
14576,23.54,23.52,23.54
14577,23.54,23.52,23.54
14578,23.54,23.52,23.53
14579,23.54,23.52,23.53
14580,23.53,23.52,23.53
14581,23.54,23.53,23.54
14582,23.54,23.53,23.54
14583,23.54,23.53,23.54
14584,23.54,23.53,23.54
14585,23.55,23.53,23.54
14586,23.54,23.53,23.54
14587,23.54,23.53,23.54
14588,23.54,23.53,23.54
14589,23.54,23.53,23.54
14590,23.54,23.53,23.54
14591,23.54,23.53,23.54
14592,23.54,23.53,23.54
14593,23.54,23.53,23.54
14594,23.54,23.53,23.54
14595,23.54,23.53,23.54
14596,23.54,23.53,23.54
14597,23.54,23.53,23.54
14598,23.54,23.53,23.54
14599,23.54,23.53,23.54
14600,23.54,23.53,23.54
14601,23.54,23.53,23.54
14602,23.54,23.53,23.54
14603,23.54,23.53,23.54
14604,23.54,23.52,23.54
14605,23.54,23.53,23.54
14606,23.54,23.52,23.53
14607,23.54,23.52,23.53
14608,23.53,23.52,23.53
14609,23.54,23.52,23.53
14610,23.53,23.52,23.53
14611,23.54,23.52,23.54
14612,23.54,23.53,23.54
14613,23.54,23.53,23.54
14614,23.54,23.53,23.54
14615,23.54,23.53,23.54
14616,23.54,23.53,23.54
14617,23.54,23.52,23.54
14618,23.54,23.52,23.54
14619,23.54,23.53,23.54
14620,23.54,23.53,23.54
14621,23.54,23.53,23.54
14622,23.55,23.53,23.54
14623,23.55,23.53,23.54
14624,23.54,23.53,23.54
14625,23.54,23.53,23.55
14626,23.54,23.53,23.54
14627,23.54,23.53,23.55
14628,23.54,23.53,23.54
14629,23.54,23.53,23.55
14630,23.55,23.53,23.54
14631,23.54,23.53,23.54
14632,23.55,23.53,23.54
14633,23.54,23.53,23.55
14634,23.54,23.53,23.55
14635,23.55,23.53,23.54
14636,23.54,23.53,23.54
14637,23.54,23.53,23.54
14638,23.54,23.52,23.53
14639,23.54,23.52,23.53
14640,23.54,23.52,23.54
14641,23.54,23.53,23.54
14642,23.54,23.53,23.54
14643,23.5,0.03,23.57
14644,23.55,23.53,23.54
14645,23.55,23.53,23.54
14646,23.54,23.53,23.54
14647,23.51,0.03,23.5
14648,23.5,0.03,23.5
14649,23.5,0.03,23.5
14650,23.49,0.03,23.49
14651,23.5,0.03,23.5
14652,23.55,23.56,23.54
14653,23.54,23.53,23.54
14654,23.54,23.53,23.54
14655,23.54,23.53,23.54
14656,23.55,23.53,23.54
14657,23.55,23.53,23.54
14658,23.55,23.53,23.54
14659,23.54,23.53,23.54
14660,23.54,23.53,23.54
14661,23.54,23.53,23.54
14662,23.54,23.53,23.54
14663,23.54,23.53,23.54
14664,23.54,23.53,23.54
14665,23.54,23.53,23.54
14666,23.54,23.52,23.53
14667,23.49,0.03,23.49
14668,23.49,0.03,23.49
14669,23.49,0.03,23.49
14670,23.49,0.03,23.49
14671,23.5,0.03,23.5
14672,23.5,0.03,23.5
14673,23.5,0.03,23.5
14674,23.5,0.03,23.5
14675,23.5,0.03,23.5
14676,23.5,0.03,23.5
14677,23.5,0.03,23.5
14678,23.5,0.03,23.5
14679,23.5,0.03,23.5
14680,23.5,0.03,23.5
14681,23.5,0.03,23.5
14682,23.55,23.57,23.54
14683,23.54,23.53,23.54
14684,23.54,23.53,23.54
14685,23.54,23.53,23.54
14686,23.54,23.53,23.54
14687,23.54,23.53,23.54
14688,23.54,23.53,23.54
14689,23.54,23.53,23.54
14690,23.54,23.53,23.55
14691,23.54,23.53,23.54
14692,23.54,23.53,23.54
14693,23.54,23.53,23.54
14694,23.54,23.53,23.54
14695,23.55,23.53,23.54
14696,23.54,23.52,23.54
14697,23.54,23.52,23.54
14698,23.54,23.52,23.54
14699,23.54,23.52,23.53
14700,23.53,23.52,23.53
14701,23.54,23.53,23.54
14702,23.54,23.52,23.54
14703,23.54,23.52,23.54
14704,23.54,23.53,23.54
14705,23.54,23.53,23.54
14706,23.54,23.53,23.54
14707,23.54,23.53,23.54
14708,23.54,23.53,23.54
14709,23.54,23.52,23.54
14710,23.54,23.52,23.54
14711,23.54,23.52,23.54
14712,23.54,23.53,23.54
14713,23.54,23.53,23.54
14714,23.54,23.52,23.54
14715,23.54,23.53,23.54
14716,23.54,23.52,23.54
14717,23.54,23.53,23.54
14718,23.54,23.53,23.54
14719,23.54,23.53,23.54
14720,23.54,23.53,23.54
14721,23.54,23.53,23.54
14722,23.54,23.53,23.54
14723,23.54,23.53,23.54
14724,23.54,23.53,23.54
14725,23.54,23.52,23.53
14726,23.54,23.52,23.54
14727,23.54,23.52,23.54
14728,23.54,23.52,23.54
14729,23.54,23.52,23.54
14730,23.54,23.52,23.54
14731,23.54,23.53,23.54
14732,23.54,23.53,23.54
14733,23.54,23.53,23.54
14734,23.54,23.53,23.54
14735,23.54,23.53,23.54
14736,23.54,23.52,23.54
14737,23.54,23.53,23.54
14738,23.54,23.52,23.54
14739,23.54,23.53,23.54
14740,23.54,23.53,23.54
14741,23.54,23.53,23.54
14742,23.54,23.53,23.54
14743,23.54,23.53,23.54
14744,23.54,23.53,23.54
14745,23.54,23.52,23.54
14746,23.54,23.53,23.54
14747,23.54,23.52,23.54
14748,23.54,23.53,23.54
14749,23.54,23.53,23.54
14750,23.54,23.53,23.54
14751,23.55,23.53,23.54
14752,23.55,23.53,23.54
14753,23.55,23.53,23.54
14754,23.55,23.52,23.54
14755,23.54,23.52,23.53
14756,23.53,23.52,23.53
14757,23.54,23.52,23.54
14758,23.54,23.52,23.54
14759,23.54,23.52,23.54
14760,23.54,23.52,23.54
14761,23.54,23.53,23.54
14762,23.54,23.53,23.54
14763,23.54,23.53,23.54
14764,23.55,23.53,23.54
14765,23.55,23.53,23.54
14766,23.54,23.52,23.54
14767,23.54,23.52,23.54
14768,23.54,23.52,23.54
14769,23.54,23.52,23.54
14770,23.54,23.52,23.54
14771,23.54,23.52,23.54
14772,23.54,23.52,23.54
14773,23.54,23.53,23.54
14774,23.54,23.53,23.54
14775,23.54,23.53,23.54
14776,23.54,23.53,23.54
14777,23.54,23.52,23.54
14778,23.54,23.52,23.54
14779,23.54,23.53,23.54
14780,23.54,23.53,23.54
14781,23.5,0.02,23.5
14782,23.5,0.03,23.5
14783,23.5,0.03,23.5
14784,23.5,0.03,23.5
14785,23.49,0.03,23.49
14786,23.49,0.03,23.49
14787,23.49,0.03,23.49
14788,23.49,0.03,23.49
14789,23.49,0.03,23.49
14790,23.49,0.03,23.49
14791,23.55,23.55,23.54
14792,23.55,23.53,23.55
14793,23.54,23.53,23.54
14794,23.54,0.02,23.5
14795,23.5,0.03,23.5
14796,23.5,0.03,23.5
14797,23.55,23.53,23.54
14798,23.54,23.52,23.54
14799,23.56,0.02,23.5
14800,23.54,23.53,23.54
14801,23.54,23.53,23.54
14802,23.5,0.03,23.49
14803,23.5,0.03,23.5
14804,23.5,0.03,23.5
14805,23.56,24.24,23.54
14806,23.54,23.52,23.54
14807,23.54,23.52,23.54
14808,23.54,23.52,23.54
14809,23.54,23.53,23.54
14810,23.54,23.52,23.54
14811,23.54,23.52,23.54
14812,23.5,0.03,23.5
14813,23.51,24.3,23.55
14814,23.54,23.53,23.54
14815,23.54,23.52,23.53
14816,23.54,23.52,23.54
14817,23.54,23.52,23.54
14818,23.54,23.52,23.54
14819,23.54,23.52,23.54
14820,23.54,23.52,23.53
14821,23.55,23.52,23.54
14822,23.54,23.53,23.54
14823,23.54,23.53,23.54
14824,23.54,23.53,23.54
14825,23.54,23.53,23.54
14826,23.55,23.53,23.54
14827,23.55,23.53,23.54
14828,23.54,23.53,23.54
14829,23.54,23.53,23.55
14830,23.55,23.53,23.54
14831,23.55,23.53,23.54
14832,23.54,23.53,23.54
14833,23.54,23.52,23.54
14834,23.54,23.53,23.54
14835,23.54,23.53,23.55
14836,23.55,23.53,23.54
14837,23.55,23.53,23.54
14838,23.54,23.53,23.54
14839,23.54,23.53,23.54
14840,23.54,23.53,23.54
14841,23.54,23.53,23.54
14842,23.55,23.53,23.54
14843,23.55,23.53,23.54
14844,23.54,23.53,23.54
14845,23.54,23.52,23.54
14846,23.53,23.52,23.54
14847,23.54,23.52,23.54
14848,23.54,23.52,23.54
14849,23.54,23.52,23.54
14850,23.54,23.52,23.54
14851,23.54,23.53,23.54
14852,23.54,23.53,23.54
14853,23.54,23.52,23.54
14854,23.54,23.53,23.54
14855,23.54,23.53,23.54
14856,23.55,23.53,23.54
14857,23.55,23.53,23.54
14858,23.54,23.53,23.54
14859,23.54,23.53,23.54
14860,23.54,23.53,23.54
14861,23.54,23.53,23.54
14862,23.54,23.52,23.54
14863,23.54,23.52,23.54
14864,23.54,23.52,23.54
14865,23.54,23.52,23.54
14866,23.54,23.52,23.54
14867,23.54,23.52,23.54
14868,23.54,23.52,23.54
14869,23.54,23.53,23.54
14870,23.54,23.52,23.54
14871,23.54,23.53,23.54
14872,23.54,23.53,23.54
14873,23.54,23.53,23.54
14874,23.54,23.53,23.54
14875,23.53,23.52,23.53
14876,23.54,23.52,23.53
14877,23.53,23.52,23.53
14878,23.54,23.52,23.54
14879,23.54,23.52,23.54
14880,23.54,23.52,23.54
14881,23.54,23.53,23.54
14882,23.54,23.53,23.54
14883,23.54,23.53,23.54
14884,23.54,23.53,23.54
14885,23.54,23.53,23.54
14886,23.54,23.53,23.54
14887,23.54,23.52,23.54
14888,23.54,23.53,23.54
14889,23.54,23.53,23.54
14890,23.54,23.53,23.54
14891,23.54,23.53,23.54
14892,23.54,23.53,23.54
14893,23.54,23.53,23.55
14894,23.54,23.52,23.54
14895,23.54,23.52,23.54
14896,23.54,23.53,23.54
14897,23.54,23.53,23.54
14898,23.54,23.53,23.54
14899,23.54,23.53,23.54
14900,23.54,23.53,23.54
14901,23.54,23.53,23.54
14902,23.54,23.53,23.54
14903,23.54,23.52,23.54
14904,23.54,23.52,23.54
14905,23.54,23.52,23.54
14906,23.54,23.52,23.53
14907,23.54,23.52,23.53
14908,23.54,23.52,23.53
14909,23.53,23.52,23.53
14910,23.53,23.52,23.54
14911,23.54,23.52,23.54
14912,23.54,23.52,23.54
14913,23.54,23.52,23.54
14914,23.54,23.52,23.54
14915,23.54,23.53,23.54
14916,23.54,23.53,23.54
14917,23.54,23.52,23.54
14918,23.54,23.53,23.54
14919,23.54,23.53,23.54
14920,23.54,23.53,23.54
14921,23.54,23.53,23.54
14922,23.54,23.53,23.54
14923,23.54,23.52,23.54
14924,23.54,23.52,23.54
14925,23.54,23.52,23.54
14926,23.54,23.53,23.54
14927,23.54,23.52,23.54
14928,23.54,23.53,23.54
14929,23.54,23.52,23.54
14930,23.5,0.03,23.5
14931,23.5,0.03,23.5
14932,23.5,0.03,23.5
14933,23.5,0.03,23.5
14934,23.5,0.03,23.5
14935,23.49,0.03,23.49
14936,23.49,0.03,23.56
14937,23.54,23.52,23.54
14938,23.54,23.52,23.53
14939,23.53,23.52,23.53
14940,23.54,23.52,23.54
14941,23.54,23.52,23.54
14942,23.54,23.52,23.54
14943,23.54,23.52,23.54
14944,23.54,23.53,23.54
14945,23.54,23.53,23.54
14946,23.54,23.53,23.54
14947,23.54,23.53,23.54
14948,23.55,23.53,23.54
14949,23.54,23.53,23.54
14950,23.54,23.53,23.54
14951,23.54,23.53,23.54
14952,23.54,23.52,23.54
14953,23.54,23.53,23.54
14954,23.54,23.53,23.54
14955,23.54,23.53,23.54
14956,23.54,23.53,23.54
14957,23.54,23.53,23.54
14958,23.54,23.53,23.54
14959,23.55,23.53,23.54
14960,23.55,23.52,23.54
14961,23.54,23.53,23.54
14962,23.54,23.53,23.54
14963,23.54,23.52,23.54
14964,23.54,23.53,23.54
14965,23.53,23.52,23.54
14966,23.54,23.52,23.54
14967,23.54,23.52,23.54
14968,23.54,23.52,23.54
14969,23.54,23.52,23.54
14970,23.54,23.53,23.55
14971,23.55,23.53,23.54
14972,23.55,23.53,23.54
14973,23.54,23.53,23.54
14974,23.54,23.53,23.54
14975,23.54,23.52,23.54
14976,23.54,23.53,23.54
14977,23.54,23.53,23.54
14978,23.54,23.52,23.54
14979,23.54,23.52,23.54
14980,23.54,23.53,23.54
14981,23.54,23.52,23.54
14982,23.54,23.53,23.54
14983,23.54,23.53,23.54
14984,23.54,23.52,23.54
14985,23.54,23.53,23.54
14986,23.54,23.53,23.54
14987,23.54,23.52,23.54
14988,23.54,23.53,23.54
14989,23.54,23.52,23.54
14990,23.54,23.53,23.54
14991,23.54,23.53,23.54
14992,23.54,23.53,23.54
14993,23.54,23.53,23.54
14994,23.54,23.53,23.54
14995,23.53,23.52,23.54
14996,23.54,23.52,23.54
14997,23.54,23.52,23.54
14998,23.54,23.52,23.54
14999,23.53,23.52,23.54
15000,23.54,23.53,23.54
15001,23.55,23.53,23.54
15002,23.54,23.53,23.54
15003,23.55,23.53,23.54
15004,23.54,23.53,23.54
15005,23.54,23.53,23.54
15006,23.54,23.53,23.54
15007,23.54,23.53,23.54
15008,23.54,23.53,23.54
15009,23.54,23.53,23.54
15010,23.54,23.53,23.54
15011,23.54,23.53,23.54
15012,23.54,23.53,23.54
15013,23.54,23.52,23.54
15014,23.54,23.53,23.54
15015,23.54,23.52,23.54
15016,23.54,23.52,23.54
15017,23.54,23.52,23.54
15018,23.54,23.52,23.54
15019,23.54,23.52,23.54
15020,23.54,23.52,23.54
15021,23.54,23.52,23.54
15022,23.54,23.53,23.54
15023,23.54,23.53,23.54
15024,23.54,23.53,23.54
15025,23.54,23.52,23.54
15026,23.54,23.52,23.54
15027,23.53,23.52,23.54
15028,23.54,23.52,23.54
15029,23.53,23.52,23.54
15030,23.54,23.53,23.54
15031,23.54,23.53,23.54
15032,23.54,23.53,23.54
15033,23.54,23.53,23.54
15034,23.54,23.53,23.54
15035,23.54,23.53,23.54
15036,23.54,23.53,23.54
15037,23.54,23.53,23.54
15038,23.54,23.52,23.54
15039,23.54,23.53,23.54
15040,23.54,23.53,23.54
15041,23.54,23.53,23.54
15042,23.54,23.53,23.54
15043,23.54,23.53,23.54
15044,23.54,23.53,23.54
15045,23.54,23.53,23.54
15046,23.54,23.53,23.54
15047,23.54,23.53,23.54
15048,23.54,23.53,23.54
15049,23.54,23.53,23.54
15050,23.54,23.53,23.54
15051,23.54,23.53,23.54
15052,23.54,23.53,23.54
15053,23.54,23.53,23.54
15054,23.54,23.53,23.54
15055,23.54,23.52,23.53
15056,23.54,23.52,23.54
15057,23.54,23.52,23.53
15058,23.54,23.52,23.53
15059,23.54,23.52,23.53
15060,23.54,23.53,23.54
15061,23.55,23.52,23.54
15062,23.54,23.53,23.54
15063,23.54,23.53,23.54
15064,23.54,23.53,23.54
15065,23.54,23.53,23.54
15066,23.54,23.53,23.54
15067,23.54,23.53,23.54
15068,23.54,23.53,23.54
15069,23.54,23.53,23.54
15070,23.54,23.53,23.54
15071,23.54,23.53,23.54
15072,23.54,23.53,23.54
15073,23.54,23.53,23.54
15074,23.54,23.53,23.54
15075,23.54,23.52,23.54
15076,23.54,23.53,23.54
15077,23.54,23.53,23.54
15078,23.54,23.53,23.54
15079,23.54,23.53,23.54
15080,23.54,23.53,23.54
15081,23.54,23.53,23.54
15082,23.54,23.52,23.54
15083,23.54,23.52,23.54
15084,23.54,23.53,23.54
15085,23.54,23.52,23.53
15086,23.54,23.52,23.54
15087,23.54,23.52,23.54
15088,23.54,23.52,23.54
15089,23.53,23.52,23.54
15090,23.55,23.53,23.54
15091,23.55,23.53,23.54
15092,23.54,23.53,23.54
15093,23.54,23.53,23.54
15094,23.54,23.53,23.54
15095,23.54,23.53,23.54
15096,23.54,23.53,23.54
15097,23.55,23.53,23.55
15098,23.54,23.53,23.55
15099,23.54,23.53,23.54
15100,23.55,23.53,23.54
15101,23.55,23.53,23.54
15102,23.54,23.53,23.54
15103,23.54,23.53,23.55
15104,23.54,23.53,23.54
15105,23.54,23.53,23.55
15106,23.54,23.53,23.54
15107,23.54,23.53,23.54
15108,23.55,23.53,23.54
15109,23.54,23.53,23.54
15110,23.55,23.53,23.54
15111,23.54,23.53,23.54
15112,23.54,23.53,23.54
15113,23.54,23.53,23.55
15114,23.54,23.53,23.54
15115,23.54,23.52,23.54
15116,23.54,23.52,23.53
15117,23.54,23.52,23.54
15118,23.54,23.52,23.53
15119,23.54,23.52,23.54
15120,23.54,23.52,23.54
15121,23.54,23.52,23.54
15122,23.54,23.52,23.54
15123,23.54,23.53,23.54
15124,23.54,23.53,23.54
15125,23.54,23.53,23.54
15126,23.54,23.52,23.54
15127,23.54,23.53,23.54
15128,23.54,23.52,23.54
15129,23.54,23.52,23.54
15130,23.54,23.52,23.54
15131,23.54,23.53,23.54
15132,23.54,23.53,23.54
15133,23.54,23.53,23.54
15134,23.54,23.53,23.54
15135,23.54,23.53,23.54
15136,23.55,23.53,23.54
15137,23.54,23.53,23.54
15138,23.54,23.53,23.54
15139,23.54,23.53,23.54
15140,23.54,23.53,23.54
15141,23.54,23.53,23.54
15142,23.54,23.53,23.54
15143,23.54,23.53,23.54
15144,23.55,23.53,23.54
15145,23.54,23.52,23.54
15146,23.54,23.52,23.53
15147,23.54,23.52,23.53
15148,23.54,23.52,23.53
15149,23.54,23.52,23.53
15150,23.54,23.53,23.54
15151,23.54,23.53,23.54
15152,23.54,23.53,23.54
15153,23.54,23.53,23.54
15154,23.54,23.53,23.54
15155,23.54,23.53,23.54
15156,23.54,23.53,23.54
15157,23.54,23.53,23.54
15158,23.54,23.53,23.54
15159,23.54,23.53,23.54
15160,23.54,23.53,23.54
15161,23.54,23.53,23.54
15162,23.54,23.53,23.54
15163,23.54,23.53,23.54
15164,23.54,23.52,23.54
15165,23.54,23.53,23.54
15166,23.54,23.52,23.54
15167,23.54,23.53,23.54
15168,23.54,23.52,23.54
15169,23.54,23.52,23.54
15170,23.54,23.52,23.54
15171,23.54,23.52,23.54
15172,23.54,23.53,23.54
15173,23.54,23.53,23.54
15174,23.54,23.52,23.54
15175,23.53,23.52,23.54
15176,23.53,23.52,23.53
15177,23.53,23.52,23.54
15178,23.53,23.52,23.54
15179,23.54,23.52,23.54
15180,23.54,23.53,23.54
15181,23.54,23.53,23.54
15182,23.54,23.53,23.54
15183,23.54,23.53,23.54
15184,23.54,23.53,23.54
15185,23.54,23.53,23.54
15186,23.54,23.53,23.54
15187,23.54,23.53,23.54
15188,23.54,23.53,23.54
15189,23.54,23.52,23.54
15190,23.54,23.52,23.54
15191,23.54,23.53,23.54
